Word 	 	 	 	 Count 
=====================================
a	 	 	 	 614
abide	 	 	 	 1
about	 	 	 	 84
above	 	 	 	 3
absurd	 	 	 	 1
acceptance	 	 	 	 1
accident	 	 	 	 1
accidentally	 	 	 	 1
account	 	 	 	 1
accounting	 	 	 	 1
accounts	 	 	 	 1
accustomed	 	 	 	 1
across	 	 	 	 5
act	 	 	 	 1
actually	 	 	 	 1
added	 	 	 	 20
addressed	 	 	 	 2
addressing	 	 	 	 1
adoption	 	 	 	 1
advance	 	 	 	 1
advantage	 	 	 	 2
adventures	 	 	 	 4
advice	 	 	 	 1
advisable	 	 	 	 1
advise	 	 	 	 1
affectionately	 	 	 	 1
afford	 	 	 	 1
afore	 	 	 	 1
afraid	 	 	 	 9
after	 	 	 	 40
again	 	 	 	 13
against	 	 	 	 9
age	 	 	 	 2
ago	 	 	 	 1
agony	 	 	 	 1
agree	 	 	 	 2
air	 	 	 	 2
alarm	 	 	 	 1
alarmed	 	 	 	 1
alas	 	 	 	 1
alice	 	 	 	 221
alive	 	 	 	 1
all	 	 	 	 155
allow	 	 	 	 2
almost	 	 	 	 6
alone	 	 	 	 2
along	 	 	 	 5
already	 	 	 	 1
also	 	 	 	 1
alternately	 	 	 	 1
altogether	 	 	 	 1
always	 	 	 	 12
am	 	 	 	 13
among	 	 	 	 12
an	 	 	 	 56
ancient	 	 	 	 1
and	 	 	 	 766
anger	 	 	 	 1
angrily	 	 	 	 2
angry	 	 	 	 3
animal	 	 	 	 1
animals	 	 	 	 3
another	 	 	 	 21
answer	 	 	 	 6
answered	 	 	 	 3
anxious	 	 	 	 2
anxiously	 	 	 	 13
any	 	 	 	 36
anything	 	 	 	 14
anywhere	 	 	 	 1
appealed	 	 	 	 1
appear	 	 	 	 1
appearance	 	 	 	 1
appeared	 	 	 	 3
appearing	 	 	 	 1
arch	 	 	 	 1
archbishop	 	 	 	 2
arches	 	 	 	 3
are	 	 	 	 40
argued	 	 	 	 1
argument	 	 	 	 4
arguments	 	 	 	 1
arm	 	 	 	 7
arms	 	 	 	 5
around	 	 	 	 2
as	 	 	 	 249
ashamed	 	 	 	 2
ask	 	 	 	 7
asked	 	 	 	 8
asking	 	 	 	 3
asleep	 	 	 	 4
assembled	 	 	 	 2
at	 	 	 	 205
ate	 	 	 	 1
atheling	 	 	 	 1
atom	 	 	 	 2
attempt	 	 	 	 1
attempted	 	 	 	 1
attempts	 	 	 	 1
attended	 	 	 	 1
attending	 	 	 	 2
attends	 	 	 	 1
authority	 	 	 	 2
avoid	 	 	 	 1
away	 	 	 	 15
awfully	 	 	 	 1
baby	 	 	 	 6
back	 	 	 	 29
backs	 	 	 	 1
bad	 	 	 	 1
baked	 	 	 	 1
balanced	 	 	 	 1
balls	 	 	 	 1
bark	 	 	 	 2
barking	 	 	 	 1
barrowful	 	 	 	 2
bathing	 	 	 	 1
bats	 	 	 	 1
bawled	 	 	 	 1
be	 	 	 	 138
beasts	 	 	 	 1
beat	 	 	 	 4
beating	 	 	 	 1
beautiful	 	 	 	 8
